unit,sex,geo,2009 ,2010 ,2011 ,2012 ,2013 ,2014 ,2015 ,2016 ,2017 ,2018 ,2019 
PC,F,AT,18.8,19.1,13.2,16.8,14.2,13.4,14.3,17.1,15.7,18.4,20.4
PC,F,BE,18.3,19.1,16.6,17.1,15.5,15.2,15.1,14.1,15.6,16.8,17.2
PC,F,BG,30.6,31.1,32.5,31.9,29.3,31.2,30.7,28.9,29.0,29.9,28.1
PC,F,CH,,,12.6,13.3,14.2,13.8,14.2,15.0,15.2,14.5,16.6
PC,F,CY,15.5,18.2,21.3,19.7,17.3,16.5,20.8,23.8,18.3,18.8,19.1
PC,F,CZ,23.5,21.3,10.6,11.0,10.6,9.9,9.8,10.0,10.1,9.7,10.2
PC,F,DE,20.1,19.5,16.5,15.2,15.6,16.5,16.3,16.6,16.6,16.8,16.8
PC,F,DK,22.4,22.3,19.5,19.0,18.4,17.4,19.7,20.2,19.4,19.6,21.1
PC,F,EE,40.0,39.3,23.8,26.2,20.8,19.4,20.9,19.8,19.6,21.8,22.8
PC,F,EL,37.4,36.5,19.0,21.3,20.6,19.7,15.7,16.0,15.2,15.5,20.2
PC,F,ES,22.7,22.7,20.2,19.6,19.8,18.7,18.8,17.6,16.7,17.8,19.7
PC,F,EU27_2020,22.9,22.5,17.0,17.1,16.7,16.2,16.5,17.0,17.2,17.2,17.9
PC,F,FI,24.6,23.7,19.1,20.0,20.7,20.8,22.3,21.0,20.4,19.9,21.1
PC,F,FR,22.3,22.2,19.6,20.1,19.5,16.9,15.8,17.6,18.5,19.3,19.6
PC,F,HR,20.8,23.1,14.2,15.5,18.1,14.7,17.2,13.8,14.5,18.2,20.5
PC,F,HU,36.0,38.4,9.5,10.8,10.4,11.7,12.0,13.2,9.0,8.6,10.6
PC,F,IE,32.6,31.4,24.2,23.0,23.3,21.1,20.1,21.5,21.1,18.6,21.4
PC,F,IS,,,17.1,19.2,17.9,20.5,23.0,21.9,17.0,16.9,19.2
PC,F,IT,17.3,16.7,14.6,16.1,14.3,14.1,14.7,15.3,16.1,15.1,15.1
PC,F,LT,34.6,32.4,,22.9,18.0,17.0,20.8,25.3,26.2,26.1,24.4
PC,F,LU,15.3,13.7,12.7,10.1,12.0,11.6,13.5,12.5,11.3,13.5,15.5
PC,F,LV,30.0,29.8,24.0,21.1,22.2,24.8,26.4,25.8,24.5,19.3,23.9
PC,F,ME,,,,33.0,27.1,,,,29.2,27.1,
PC,F,MK,,,23.8,24.5,26.9,28.7,21.9,27.5,27.2,24.6,24.8
PC,F,MT,24.1,28.4,17.0,10.4,13.9,15.2,17.0,12.3,10.8,17.7,10.9
PC,F,NL,15.4,14.6,12.9,13.1,14.3,13.2,13.9,15.0,16.3,15.9,17.3
PC,F,NO,,,16.6,16.1,16.0,16.6,18.8,17.3,18.7,22.1,20.6
PC,F,PL,30.3,29.8,14.2,16.1,14.3,14.0,13.6,14.6,14.8,14.0,14.4
PC,F,PT,25.3,28.6,18.9,14.9,13.8,15.2,18.2,18.3,17.7,18.0,18.3
PC,F,RO,32.3,29.3,21.7,21.3,23.5,21.5,27.3,26.3,25.7,23.7,23.5
PC,F,RS,,,,,18.5,15.1,17.2,20.9,22.3,19.4,21.6
PC,F,SE,21.2,20.9,19.0,19.4,19.6,19.1,18.9,20.8,20.9,20.9,20.5
PC,F,SI,24.1,25.5,15.8,14.2,12.7,13.6,16.2,17.3,16.5,16.6,19.5
PC,F,SK,32.5,34.8,17.5,13.4,9.0,12.0,11.9,9.7,14.4,13.1,14.0
PC,F,TR,,,14.3,14.4,14.7,14.5,13.8,13.2,13.8,14.6,13.0
PC,F,UK,,,17.9,17.4,15.8,16.5,17.2,16.5,17.6,17.0,17.1
PC,M,AT,81.2,80.9,86.8,83.2,85.8,86.6,85.7,82.9,84.3,81.6,79.6
PC,M,BE,81.7,80.9,83.4,82.9,84.5,84.8,84.9,85.9,84.4,83.2,82.8
PC,M,BG,69.4,68.9,67.5,68.1,70.7,68.8,69.3,71.1,71.0,70.1,71.9
PC,M,CH,,,87.4,86.7,85.8,86.2,85.8,85.0,84.8,85.5,83.4
PC,M,CY,84.5,81.8,78.7,80.3,82.7,83.5,79.2,76.2,81.7,81.2,80.9
PC,M,CZ,76.5,78.7,89.4,89.0,89.4,90.1,90.2,90.0,89.9,90.3,89.8
PC,M,DE,79.9,80.5,83.5,84.8,84.4,83.5,83.7,83.4,83.4,83.2,83.2
PC,M,DK,77.6,77.7,80.5,81.0,81.6,82.6,80.3,79.8,80.6,80.4,78.9
PC,M,EE,60.0,60.7,76.2,73.8,79.2,80.6,79.1,80.2,80.4,78.2,77.2
PC,M,EL,62.6,63.5,81.0,78.7,79.4,80.3,84.3,84.0,84.8,84.5,79.8
PC,M,ES,77.3,77.3,79.8,80.4,80.2,81.3,81.2,82.4,83.3,82.2,80.3
PC,M,EU27_2020,77.1,77.5,83.0,82.9,83.3,83.8,83.5,83.0,82.8,82.8,82.1
PC,M,FI,75.4,76.3,80.9,80.0,79.3,79.2,77.7,79.0,79.6,80.1,78.9
PC,M,FR,77.7,77.8,80.4,79.9,80.5,83.1,84.2,82.4,81.5,80.7,80.4
PC,M,HR,79.2,76.9,85.8,84.5,81.9,85.3,82.8,86.2,85.5,81.8,79.5
PC,M,HU,64.0,61.6,90.5,89.2,89.6,88.3,88.0,86.8,91.0,91.4,89.4
PC,M,IE,67.4,68.6,75.8,77.0,76.7,78.9,79.9,78.5,78.9,81.4,78.6
PC,M,IS,,,82.9,80.8,82.1,79.5,77.0,78.1,83.0,83.1,80.8
PC,M,IT,82.7,83.3,85.4,83.9,85.7,85.9,85.3,84.7,83.9,84.9,84.9
PC,M,LT,65.4,67.6,80.5,77.1,82.0,83.0,79.2,74.7,73.8,73.9,75.6
PC,M,LU,84.7,86.3,87.3,89.9,88.0,88.4,86.5,87.5,88.7,86.5,84.5
PC,M,LV,70.0,70.2,76.0,78.9,77.8,75.2,73.6,74.2,75.5,80.7,76.1
PC,M,ME,,,81.1,67.0,72.9,83.1,84.1,87.3,70.8,72.9,76.0
PC,M,MK,,,76.2,75.5,73.1,71.3,78.1,72.5,72.8,75.4,75.2
PC,M,MT,75.9,71.6,83.0,89.6,86.1,84.8,83.0,87.7,89.2,82.3,89.1
PC,M,NL,84.6,85.4,87.1,86.9,85.7,86.8,86.1,85.0,83.7,84.1,82.7
PC,M,NO,,,83.4,83.9,84.0,83.4,81.2,82.7,81.3,77.9,79.4
PC,M,PL,69.7,70.2,85.8,83.9,85.7,86.0,86.4,85.4,85.2,86.0,85.6
PC,M,PT,74.7,71.4,81.1,85.1,86.2,84.8,81.8,81.7,82.3,82.0,81.7
PC,M,RO,67.7,70.7,78.3,78.7,76.5,78.5,72.7,73.7,74.3,76.3,76.5
PC,M,RS,,,,,81.5,84.9,82.8,79.1,77.7,80.6,78.4
PC,M,SE,78.8,79.1,81.0,80.6,80.4,80.9,81.1,79.2,79.1,79.1,79.5
PC,M,SI,75.9,74.5,84.2,85.8,87.3,86.4,83.8,82.7,83.5,83.4,80.5
PC,M,SK,67.5,65.2,82.5,86.6,91.0,88.0,88.1,90.3,85.6,86.9,86.0
PC,M,TR,,,85.7,85.6,85.3,85.5,86.2,86.8,86.2,85.4,87.0
PC,M,UK,,,82.1,82.6,84.2,83.5,82.8,83.5,82.4,83.0,82.9
THS_PER,F,AT,26.1,27.0,19.1,24.7,21.7,20.0,23.9,30.7,29.5,35.2,37.7
THS_PER,F,BE,33.3,37.9,30.3,33.4,29.4,29.2,28.5,27.3,35.8,41.1,41.3
THS_PER,F,BG,23.9,23.6,21.3,22.7,21.6,22.8,26.6,26.0,27.6,30.6,28.5
THS_PER,F,CH,,,23.1,27.2,29.5,29.5,30.5,34.1,33.9,33.9,42.5
THS_PER,F,CY,1.4,1.8,2.1,1.9,1.7,1.6,2.0,2.4,2.0,2.4,2.2
THS_PER,F,CZ,53.4,48.4,18.2,18.0,19.3,18.3,17.4,18.9,19.2,20.6,21.9
THS_PER,F,DE,287.8,287.8,191.4,205.5,218.4,234.5,238.8,255.5,257.6,272.7,283.2
THS_PER,F,DK,28.7,28.5,22.4,23.9,23.5,21.4,24.8,28.0,27.7,28.5,32.1
THS_PER,F,EE,9.3,9.4,5.0,6.1,5.4,4.8,6.0,6.9,7.3,8.3,9.2
THS_PER,F,EL,47.8,46.9,13.6,14.8,14.7,12.3,9.6,11.4,12.0,13.5,16.4
THS_PER,F,ES,138.8,142.7,112.5,105.2,105.7,101.2,104.7,106.1,107.0,121.2,141.4
THS_PER,F,EU27_2020,1548.2,1528.2,956.6,1011.4,1021.0,1025.3,1080.9,1176.1,1231.4,1304.9,1403.4
THS_PER,F,FI,33.5,33.4,27.0,30.3,32.3,31.8,34.7,33.8,33.9,33.7,36.8
THS_PER,F,FR,232.1,232.2,137.2,138.2,149.7,143.9,143.7,170.7,188.0,204.4,221.5
THS_PER,F,HR,8.5,8.8,5.7,6.2,7.1,6.4,7.6,7.3,7.9,11.1,11.4
THS_PER,F,HU,57.1,61.9,9.7,13.4,14.2,16.8,18.4,20.8,14.3,14.3,16.1
THS_PER,F,IE,25.0,24.4,21.6,20.7,21.4,20.0,19.2,22.5,23.0,20.0,24.1
THS_PER,F,IS,,,1.0,1.1,1.2,1.5,1.9,1.9,1.6,1.5,1.7
THS_PER,F,IT,127.6,119.9,98.2,113.1,101.8,101.9,106.7,115.6,124.8,123.9,124.1
THS_PER,F,LT,8.6,7.4,,5.7,4.2,3.9,5.9,8.7,9.7,9.9,10.3
THS_PER,F,LU,1.5,1.4,1.2,1.2,1.4,1.5,1.7,1.7,1.6,2.3,2.8
THS_PER,F,LV,7.3,7.0,5.3,4.2,4.8,5.6,6.5,6.3,6.2,4.5,6.8
THS_PER,F,ME,,,,1.3,1.2,,,,1.7,1.3,
THS_PER,F,MK,,,2.2,2.2,2.5,3.1,2.9,3.6,3.3,3.1,3.9
THS_PER,F,MT,1.8,2.2,1.0,0.6,0.8,1.0,1.3,1.0,1.0,2.0,1.3
THS_PER,F,NL,48.6,47.8,48.7,49.4,55.4,52.0,57.5,64.3,70.6,74.5,87.2
THS_PER,F,NO,,,18.3,18.3,18.9,19.8,22.2,19.4,22.8,27.0,26.0
THS_PER,F,PL,151.9,140.5,50.4,63.3,58.0,58.0,57.8,63.1,67.1,68.0,73.5
THS_PER,F,PT,35.5,40.6,17.6,14.6,14.5,20.9,24.4,25.8,24.2,27.3,32.2
THS_PER,F,RO,62.2,47.8,27.2,29.7,32.2,30.1,44.0,44.1,47.7,45.1,46.5
THS_PER,F,RS,,,,,8.0,7.7,9.8,13.0,14.4,13.3,16.1
THS_PER,F,SE,60.7,60.2,49.1,52.3,52.4,53.0,55.6,64.7,69.6,72.4,73.9
THS_PER,F,SI,8.8,9.2,5.2,4.4,3.9,4.4,5.4,5.6,6.0,6.5,7.5
THS_PER,F,SK,27.1,29.6,11.0,7.9,5.4,7.9,8.1,7.1,10.3,10.9,13.5
THS_PER,F,TR,,,33.8,40.7,42.3,43.2,44.7,43.5,48.2,51.5,46.1
THS_PER,F,UK,,,251.6,253.5,236.5,251.6,283.5,278.4,292.2,299.0,313.5
THS_PER,M,AT,112.9,114.1,125.9,122.5,131.2,129.4,142.9,148.4,158.4,156.5,146.9
THS_PER,M,BE,148.3,160.4,152.4,161.5,159.9,163.2,159.9,166.5,192.8,203.8,198.1
THS_PER,M,BG,54.4,52.2,44.2,48.4,52.0,50.3,60.0,64.2,67.6,71.5,72.8
THS_PER,M,CH,,,160.5,176.8,178.1,184.3,184.7,192.8,189.1,199.7,214.1
THS_PER,M,CY,7.8,7.9,7.9,7.9,8.3,8.4,7.7,7.6,9.0,10.5,9.2
THS_PER,M,CZ,173.9,178.4,152.4,146.4,163.1,167.0,160.1,170.0,170.0,191.0,192.1
THS_PER,M,DE,1142.9,1189.3,969.7,1148.0,1178.8,1183.4,1226.9,1285.6,1298.3,1349.9,1403.7
THS_PER,M,DK,99.4,99.3,92.5,101.5,104.5,101.5,101.3,110.4,115.4,117.0,120.0
THS_PER,M,EE,14.0,14.5,16.0,17.3,20.7,19.8,22.7,27.8,29.7,29.7,31.2
THS_PER,M,EL,80.0,81.5,58.2,54.6,56.7,50.2,51.3,59.4,66.8,73.9,64.6
THS_PER,M,ES,471.5,486.8,445.8,432.0,429.3,439.2,453.3,496.7,532.5,560.6,574.5
THS_PER,M,EU27_2020,5224.3,5267.2,4655.7,4911.1,5103.3,5288.6,5472.8,5738.8,5948.1,6275.5,6455.1
THS_PER,M,FI,102.7,107.2,114.5,121.0,123.6,121.2,121.2,126.9,132.1,135.9,137.7
THS_PER,M,FR,809.8,815.0,563.7,550.9,618.8,709.5,763.0,798.1,830.0,857.1,908.1
THS_PER,M,HR,32.6,29.4,34.2,33.7,32.2,37.4,36.7,45.3,46.7,49.6,44.3
THS_PER,M,HU,101.4,99.3,92.3,110.6,123.1,127.4,134.5,137.4,143.6,151.5,136.3
THS_PER,M,IE,51.6,53.4,67.7,69.4,70.5,74.7,76.3,82.1,85.7,87.2,88.8
THS_PER,M,IS,,,5.1,4.6,5.6,5.8,6.3,6.8,7.6,7.2,7.0
THS_PER,M,IT,611.9,596.4,573.7,587.7,609.7,618.2,620.0,638.6,649.0,698.3,696.6
THS_PER,M,LT,16.2,15.3,18.5,19.1,19.3,19.2,22.4,25.7,27.4,28.0,31.8
THS_PER,M,LU,8.5,8.9,8.6,10.6,10.0,11.2,11.1,11.9,12.5,14.4,15.2
THS_PER,M,LV,17.0,16.5,16.8,15.6,16.9,17.0,18.2,18.2,19.0,18.9,21.8
THS_PER,M,ME,,,2.9,2.6,3.2,4.2,4.5,4.1,4.1,3.5,3.5
THS_PER,M,MK,,,6.9,6.6,6.9,7.7,10.2,9.5,8.8,9.5,11.8
THS_PER,M,MT,5.7,5.4,4.7,5.5,5.2,5.8,6.3,7.2,8.5,9.5,10.5
THS_PER,M,NL,267.8,278.5,328.6,328.9,331.9,342.4,356.9,363.0,363.3,394.4,417.4
THS_PER,M,NO,,,92.0,95.4,99.1,99.3,96.0,92.7,99.3,95.4,100.2
THS_PER,M,PL,349.5,331.0,304.7,330.3,346.0,355.9,366.9,369.7,384.9,418.3,438.5
THS_PER,M,PT,104.5,101.5,75.6,83.0,90.7,116.9,110.1,115.1,112.6,123.9,143.3
THS_PER,M,RO,130.4,115.2,97.9,109.8,105.0,109.9,117.2,123.6,137.7,145.4,151.4
THS_PER,M,RS,,,,,35.1,43.0,47.3,49.1,50.0,55.2,58.4
THS_PER,M,SE,225.5,227.5,209.2,217.7,214.9,223.9,238.2,246.1,263.2,274.1,286.3
THS_PER,M,SI,27.9,26.8,28.0,26.5,26.6,27.8,27.7,26.6,30.3,32.6,31.1
THS_PER,M,SK,56.3,55.5,52.0,50.9,54.2,58.0,60.3,66.4,61.1,72.0,83.0
THS_PER,M,TR,,,201.9,243.0,245.2,255.2,279.9,285.7,301.3,302.6,309.2
THS_PER,M,UK,,,1155.1,1207.0,1255.7,1276.4,1361.3,1406.2,1371.3,1460.1,1523.8
